Time UTC, Oxygen Concentration Corrected (ml/l), Oxygen Concentration Corrected QC Flag, Oxygen Concentration Corrected Count, Corrected Heading (mobile position/attitude sensor) (deg), Corrected Heading (mobile position/attitude sensor) QC Flag, Corrected Heading (mobile position/attitude sensor) Count, True Heading (mobile position/attitude sensor) (deg), True Heading (mobile position/attitude sensor) QC Flag, True Heading (mobile position/attitude sensor) Count
2012-10-15T18,,4.0,0.0,,9.0,0.0,,9.0,0.0
2012-10-15T19,2.664,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-15T20,2.66925,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-15T21,2.63025,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-15T22,2.6965,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-15T23,2.664,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T00,2.6005,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T01,2.607,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T02,2.65875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T03,2.6765,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T04,2.70325,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T05,2.7935,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T06,2.86175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T07,2.824,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T08,2.88825,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T09,2.86325,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T10,2.9025,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T11,3.05875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T12,2.92425,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T13,2.84775,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T14,2.7835,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T15,2.7705,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T16,2.87525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T17,2.87375,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T18,2.8535,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T19,2.85975,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T20,2.817,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T21,2.8435,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T22,2.867,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-16T23,2.93225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T00,2.9055,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T01,2.8765,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T02,2.8835,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T03,2.88725,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T04,2.902,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T05,2.98525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T06,3.12325,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T07,3.1095,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T08,3.08925,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T09,3.17325,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T10,3.13925,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T11,3.21875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T12,3.252,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T13,3.137,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T14,3.07225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T15,3.0205,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T16,3.03,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T17,3.0565,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T18,3.0615,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T19,3.06225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T20,3.04925,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T21,3.054,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T22,3.053,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-17T23,3.08575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T00,3.13475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T01,3.0915,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T02,3.07425,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T03,3.082,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T04,3.096,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T05,3.11175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T06,3.189,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T07,3.2875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T08,3.3005,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T09,3.28475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T10,3.3215,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T11,3.338,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T12,3.399,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T13,3.32525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T14,3.2385,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T15,3.19575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T16,3.16875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T17,3.1745,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T18,3.17425,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T19,3.16675,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T20,3.16725,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T21,3.1815,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T22,3.17575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T23,3.19225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T00,3.204,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T01,3.24175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T02,3.21225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T03,3.20475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T04,3.20325,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T05,3.2045,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T06,3.2175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T07,3.2895,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T08,3.3465,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T09,3.351,7.0,4.0,,9.0,0.0,,9.0,0.0
