## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2023-11-15T00:05:14.877Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Society. 2017. Discovery Passage Conductivity Temperature Depth Deployed 2017-01-26. Ocean Networks Canada Society. https://doi.org/10.34943/99d154c3-3b65-47b9-bd71-fadad579aede. Subset Query: 22918445. Accessed 2023-11-15."  / Citation Title
#METADATF:  CampbellRiverUnderwaterNetwork_CTDSea-Bird_ConductivityTemperatureDepth_20170126T020000Z_20180130T010000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  36358711                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-DiscoveryPassage-CampbellRiverUnderwaterNetwork-CTDSea-Bird  / Station Name 
#STNCODE:   CRIP.C2                              / Station Code 
#LATITUDE:     50.020767                         / Latitude North
#LONGITUDE:  -125.235367                         / Longitude East
#DEPTH:         8.5                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2017-01-26T02:42:58.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 7034"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p7034                        / Device Code of Device 1
#DEVID1:    23027                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2017-01-26T02:00:00.000Z             / Data Start Time
#DATETO:    2018-01-30T01:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2013-11-20T23:23:06.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8686                                 / Samples in File
#TOTSMPEXP: 8855                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Conductivity (S/m)", "Conductivity QC Flag", "Conductivity Count", "Density (kg/m3)", "Density QC Flag", "Density Count", "Practical Salinity (psu)", "Practical Salinity QC Flag", "Practical Salinity Count", "Pressure (decibar)", "Pressure QC Flag", "Pressure Count", "Sigma-t (kg/m3)", "Sigma-t QC Flag", "Sigma-t Count", "Sigma-theta (0 dbar) (kg/m3)", "Sigma-theta (0 dbar) QC Flag", "Sigma-theta (0 dbar) Count", "Sound Speed (m/s)", "Sound Speed QC Flag", "Sound Speed Count", "Temperature (C)", "Temperature QC Flag", "Temperature Count"
## END HEADER
2017-01-26T02:30:00.000Z, NaN, 6, 801, NaN, 6, 801, NaN, 6, 801, NaN, 6, 801, NaN, 6, 801, NaN, 6, 801, NaN, 6, 801, NaN, 6, 801
2017-01-26T03:30:00.000Z, 3.105453133, 7, 3600, 1022.648116925, 7, 3600, 29.142037056, 7, 3600, 7.119724167, 7, 3600, 22.615386337, 7, 3600, 22.615481386, 7, 3600, 1477.037778056, 7, 3600, 8.444963333, 7, 3600
2017-01-26T04:30:00.000Z, 3.111893664, 7, 3600, 1022.66813694, 7, 3600, 29.17707375, 7, 3600, 6.701017222, 7, 3600, 22.637338372, 7, 3600, 22.637428495, 7, 3600, 1477.2206475, 7, 3600, 8.483600583, 7, 3600
2017-01-26T05:30:00.000Z, 3.115848933, 7, 3600, 1022.683430729, 7, 3600, 29.201284472, 7, 3600, 6.536812778, 7, 3600, 22.653390779, 7, 3600, 22.653479049, 7, 3600, 1477.324863056, 7, 3600, 8.503952972, 7, 3600
2017-01-26T06:30:00.000Z, 3.103765942, 7, 3600, 1022.622479733, 7, 3600, 29.115146111, 7, 3600, 6.481665833, 7, 3600, 22.59268265, 7, 3600, 22.59276927, 7, 3600, 1477.038506389, 7, 3600, 8.456629583, 7, 3600
2017-01-26T07:30:00.000Z, 3.086062717, 7, 3600, 1022.512438289, 7, 3600, 28.966912306, 7, 3600, 6.463408611, 7, 3600, 22.482712287, 7, 3600, 22.482797646, 7, 3600, 1476.692938056, 7, 3600, 8.413735111, 7, 3600
2017-01-26T08:30:00.000Z, 3.083184446, 7, 3599, 1022.49307141, 7, 3599, 28.938542178, 7, 3599, 7.017023062, 7, 3599, 22.460797691, 7, 3599, 22.460890246, 7, 3599, 1476.659155043, 7, 3599, 8.411651487, 7, 3599
2017-01-26T09:30:00.000Z, 3.079269014, 7, 3600, 1022.464142081, 7, 3600, 28.897312833, 7, 3600, 7.755506667, 7, 3600, 22.428469923, 7, 3600, 22.428572092, 7, 3600, 1476.621948056, 7, 3600, 8.412034917, 7, 3600
2017-01-26T10:30:00.000Z, 3.086101522, 7, 3600, 1022.534677062, 7, 3600, 28.980111194, 7, 3600, 8.544010278, 7, 3600, 22.495380731, 7, 3600, 22.495493326, 7, 3600, 1476.680084167, 7, 3600, 8.397126833, 7, 3600
2017-01-26T11:30:00.000Z, 3.0896295, 7, 3600, 1022.58287334, 7, 3600, 29.033858444, 7, 3600, 9.228359167, 7, 3600, 22.540429225, 7, 3600, 22.540550648, 7, 3600, 1476.677065833, 7, 3600, 8.375983556, 7, 3600
2017-01-26T12:30:00.000Z, 3.092868658, 7, 3600, 1022.604635496, 7, 3600, 29.060876444, 7, 3600, 9.601796111, 7, 3600, 22.560477482, 7, 3600, 22.560604098, 7, 3600, 1476.746239167, 7, 3600, 8.383821833, 7, 3600
2017-01-26T13:30:00.000Z, 3.096693492, 7, 3600, 1022.62459171, 7, 3600, 29.088794972, 7, 3600, 9.6263625, 7, 3600, 22.580325599, 7, 3600, 22.58045295, 7, 3600, 1476.835322222, 7, 3600, 8.398108417, 7, 3600
2017-01-26T14:30:00.000Z, 3.098570078, 7, 3600, 1022.648476422, 7, 3600, 29.117835167, 7, 3600, 9.523501944, 7, 3600, 22.604682899, 7, 3600, 22.604808774, 7, 3600, 1476.825635278, 7, 3600, 8.386592056, 7, 3600
2017-01-26T15:30:00.000Z, 3.086134219, 7, 3600, 1022.603326192, 7, 3600, 29.048281333, 7, 3600, 9.341727778, 7, 3600, 22.560349311, 7, 3600, 22.560471061, 7, 3600, 1476.461922778, 7, 3600, 8.314331722, 7, 3600
