Time UTC,Conductivity (S/m),Density (kg/m3),Practical Salinity (psu),Pressure (decibar),Temperature (C),Turbidity (NTU),Chlorophyll (ug/l),Oxygen Concentration Corrected (ml/l)
2016-07-29T23,3.399625139,1022.142839,29.2162876,9.086694444,11.99475389,2.388133333,0.995111111,4.225614449
2016-08-01T00,3.366962566,1022.505184,29.50565315,9.504834768,11.22691308,4.309286309,1.024187726,3.897761202
2016-08-01T01,3.380872417,1022.512835,29.54378431,9.332563889,11.34884222,4.683986111,0.954770833,4.0293463
2016-08-01T02,3.351241194,1021.326959,28.30115471,9.051933333,12.58910444,4.944336111,3.620583333,5.085912426
2016-08-01T03,3.358888892,1021.315639,28.30801885,8.839247431,12.67466509,4.367472924,2.847195224,5.005920637
2016-08-01T04,3.356721944,1021.929628,28.91353058,8.726197222,11.86257333,4.062016667,2.199291667,4.397162834
2016-08-01T05,3.359591139,1022.385951,29.37393436,8.743625,11.30405611,3.977580556,1.574840278,3.88136685
2016-08-01T06,3.348881616,1022.173831,29.13741745,8.840311025,11.47164871,4.284207165,3.147387744,4.034192041
2016-08-01T07,3.32975575,1022.13679,29.05888924,8.936394444,11.33636194,4.317422222,1.316930556,3.938500265
2016-08-01T08,3.348886778,1022.447483,29.41104035,9.153575,11.12581389,4.319297222,0.868701389,3.808933384
2016-08-01T09,3.35181158,1022.549216,29.5181929,9.526459317,11.02726104,4.18281033,0.745633157,3.753296022
2016-08-01T10,3.345025028,1022.600061,29.5545477,9.716316667,10.89939417,4.206347222,0.920472222,3.65107128
2016-08-01T11,3.344119917,1022.549868,29.50251794,9.582975,10.95329556,4.207502778,0.927854167,3.668303283
2016-08-01T12,3.345778617,1022.532438,29.49055852,9.10555679,10.98859317,4.532949181,0.885219384,3.660012767
2016-08-01T13,3.346379639,1022.542299,29.50484761,8.451888889,10.9784425,3.942527778,0.967361111,3.668658564
2016-08-01T14,3.344598361,1022.38572,29.34638715,7.723933333,11.15526333,4.199577778,1.122604167,3.791656873
